adj_close-5,adj_close-6,volume-5,volume-6
181.7783966064453,2901.489990234375,104487900.0,1260700.0
179.47134399414062,2888.330078125,99310400.0,1146400.0
174.69741821289062,2753.070068359375,94537600.0,2482100.0
171.78114318847656,2751.02001953125,96904000.0,1452500.0
171.950927734375,2740.090087890625,86709100.0,970400.0
171.9709014892578,2771.47998046875,106765600.0,1704800.0
174.8572235107422,2800.35009765625,76138300.0,1175100.0
175.306640625,2832.9599609375,74805200.0,1182100.0
171.9709014892578,2782.6201171875,84505800.0,1328300.0
172.84979248046875,2795.72998046875,80440800.0,1191300.0
169.5839385986328,2725.81005859375,90956700.0,1369100.0
166.0184783935547,2713.0400390625,94815000.0,1039800.0
164.3006591796875,2670.1298828125,91420500.0,1096500.0
162.20335388183594,2601.840087890625,122848900.0,2096000.0
161.41433715820312,2607.43994140625,162294600.0,2757400.0
159.57669067382812,2534.7099609375,115798400.0,1800400.0
159.48680114746094,2584.800048828125,108275300.0,1981500.0
159.0174102783203,2582.419921875,121954600.0,1512400.0
170.11326599121094,2665.7900390625,179935700.0,1525900.0
174.55760192871094,2713.969970703125,115541600.0,1702800.0
174.3878173828125,2757.570068359375,86213900.0,2560200.0
175.6162567138672,2960.72998046875,84914300.0,4487500.0
172.67999267578125,2853.010009765625,89418100.0,2846500.0
172.38999938964844,2860.320068359375,82465400.0,2461200.0
171.66000366210938,2778.760009765625,77251200.0,2230500.0
174.8300018310547,2784.260009765625,74829200.0,1712800.0
176.27999877929688,2829.06005859375,71285000.0,1431400.0
172.1199951171875,2772.050048828125,90865900.0,1650900.0
168.63999938964844,2682.60009765625,98670700.0,1940400.0
168.8800048828125,2706.0,86185500.0,1339600.0
172.7899932861328,2728.510009765625,62527400.0,1328900.0
172.5500030517578,2749.75,61177400.0,1280500.0
168.8800048828125,2646.169921875,69589300.0,1548400.0
167.3000030517578,2609.35009765625,82772700.0,1592900.0
164.32000732421875,2588.050048828125,91162800.0,1945300.0
160.07000732421875,2551.699951171875,90009200.0,1321600.0
162.74000549316406,2653.469970703125,141147500.0,2158300.0
164.85000610351562,2690.389892578125,91974200.0,1311800.0
165.1199951171875,2697.820068359375,95056600.0,1483800.0
163.1999969482422,2683.360107421875,83474400.0,1232000.0
166.55999755859375,2695.030029296875,79724800.0,1198300.0
166.22999572753906,2686.159912109375,76678400.0,989000.0
163.1699981689453,2642.43994140625,83737200.0,1222300.0
159.3000030517578,2529.2900390625,96418800.0,1958900.0
157.44000244140625,2545.570068359375,131148300.0,1762500.0
162.9499969482422,2677.320068359375,91454900.0,1612900.0
158.52000427246094,2653.639892578125,105342000.0,1213300.0
154.72999572753906,2609.510009765625,96970100.0,1330000.0
150.6199951171875,2534.820068359375,108732100.0,1512700.0
155.08999633789062,2593.2099609375,92964300.0,1514600.0
159.58999633789062,2673.81005859375,102300200.0,1602900.0
160.6199951171875,2692.010009765625,75615400.0,1199700.0
163.97999572753906,2736.030029296875,123511700.0,2295000.0
165.3800048828125,2729.570068359375,95811400.0,1331600.0
168.82000732421875,2805.550048828125,81532000.0,1488800.0
170.2100067138672,2770.070068359375,98062700.0,1265100.0
174.07000732421875,2826.239990234375,90131400.0,1027200.0
174.72000122070312,2830.429931640625,80546200.0,963500.0
175.60000610351562,2839.0,90371900.0,1188700.0
178.9600067138672,2865.0,100589400.0,1433900.0
177.77000427246094,2852.889892578125,92633200.0,1052300.0
174.61000061035156,2792.989990234375,103049300.0,1475800.0
174.30999755859375,2814.0,78699800.0,1173600.0
178.44000244140625,2872.85009765625,76468400.0,953800.0
175.05999755859375,2821.260009765625,73401800.0,962800.0
171.8300018310547,2743.52001953125,89058800.0,1178700.0
172.13999938964844,2729.300048828125,77594700.0,972400.0
170.08999633789062,2680.2099609375,76515900.0,821000.0
165.75,2595.929931640625,72088900.0,1206100.0
